"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D_sch_2,D_sch_3,D_sch_5,D_sch_1,D_sch_4,D_sch_6";"DIOM5027X250N";6;"SK16";;;
2;"PS_DCDC_24V5V_1";"REC10K-AW";1;"REC10K-2405SAW_H2";;;
3;"Q_NchFET_6,Q_NchFET_5,Q_NchFET_4,Q_NchFET_3,Q_NchFET_1,Q_NchFET_2";"SOT96P240X115-3N";6;"DMN65D8L-7";;;
4;"K_TypeCRel_5,K_TypeCRel_4,K_TypeCRel_6";"G5LE1DC3";3;"G5LE-1";;;
5;"R_4k7_1,R_4k7_2,R_4k7_4,R_4k7_3";"R_0603_1608Metric";4;"4k7";;;
6;"U_WeMos_D1_Mini_Pro_1";"WEMOS_D1_mini_light";1;"WeMos_D1_Mini_Pro";;;
7;"J_24Vin+GND_1";"1729128";1;"Screw_Terminal_01x02";;;
8;"J_VFDconnectors_3,J_VFDconnectors_2";"1935190";2;"Screw_Terminal_01x05";;;
9;"K_TypeARel_3,K_TypeARel_1,K_TypeARel_2";"G5LE1A4DC5";3;"G5LE-1A_DC3";;;
10;"J_LCDconn_1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04";;;
11;"C_10uF_2";"C_0603_1608Metric";1;"10uF";;;
12;"Fuse_1500mA_1";"0PTF0078P";1;"0PTF0078P";;;
13;"SW_IncSpeed_3";"1935187";1;"Local DI1 (incspeed)";;;
14;"SW_DecSpeed_4";"1935187";1;"Local DI2 (decspeed)";;;
15;"L_10uH_1";"8200";1;"82103C 10uH";;;
16;"SW_LocRem_1";"1729128";1;"local/remote switch";;;
17;"C_22uF_1";"C_0603_1608Metric";1;"22uF";;;
18;"SW_OnOff_2";"1935187";1;"Local DI0 (onoff)";;;
19;"C_470uF_3";"CAPPRD250W52D630H1250";1;"470uF";;;
